Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/orders?user_id=2830&order_date=2022-04-11+19%3A40%3A16,1,1,36407.35649999988,36407.35649999988,36407.35649999988,36407.35649999988,21.0,0.00654915718479559,0.00654915718479559,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
GET,/orders?user_id=2871,1,0,26914.852800000517,26914.852800000517,26914.852800000517,26914.852800000517,12355.0,0.00654915718479559,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
PUT,/orders?user_id=2887&order_date=2022-04-11+19%3A39%3A07,1,1,2692.80880000224,2692.80880000224,2692.80880000224,2692.80880000224,21.0,0.00654915718479559,0.00654915718479559,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PUT,/orders?user_id=29&order_date=2022-04-11+19%3A40%3A00,1,0,21602.042799997434,21602.042799997434,21602.042799997434,21602.042799997434,4.0,0.00654915718479559,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
PUT,/orders?user_id=2920&order_date=2022-04-11+19%3A39%3A25,1,1,67001.10610000047,67001.10610000047,67001.10610000047,67001.10610000047,21.0,0.00654915718479559,0.00654915718479559,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000
PUT,/orders?user_id=2937&order_date=2022-04-11+19%3A39%3A18,1,0,8061.420100002579,8061.420100002579,8061.420100002579,8061.420100002579,4.0,0.00654915718479559,0.0,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
GET,/orders?user_id=297,1,0,46111.74409999876,46111.74409999876,46111.74409999876,46111.74409999876,15615.0,0.00654915718479559,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
PUT,/orders?user_id=2978&order_date=2022-04-11+19%3A39%3A21,1,0,10319.729200000438,10319.729200000438,10319.729200000438,10319.729200000438,4.0,0.00654915718479559,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
PUT,/orders?user_id=2988&order_date=2022-04-11+19%3A40%3A22,1,0,32239.948399997957,32239.948399997957,32239.948399997957,32239.948399997957,4.0,0.00654915718479559,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
PUT,/orders?user_id=2994&order_date=2022-04-11+19%3A39%3A10,1,0,7040.70320000028,7040.70320000028,7040.70320000028,7040.70320000028,4.0,0.00654915718479559,0.0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
PUT,/orders?user_id=2994&order_date=2022-04-11+19%3A39%3A29,1,0,16641.31500000076,16641.31500000076,16641.31500000076,16641.31500000076,4.0,0.00654915718479559,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
PUT,/orders?user_id=2994&order_date=2022-04-11+19%3A40%3A29,1,0,32494.347700001526,32494.347700001526,32494.347700001526,32494.347700001526,4.0,0.00654915718479559,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,/orders?user_id=3007,1,0,98541.57549999945,98541.57549999945,98541.57549999945,98541.57549999945,9738.0,0.00654915718479559,0.0,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
PUT,/orders?user_id=3011&order_date=2022-04-11+19%3A39%3A31,1,0,12227.151700000832,12227.151700000832,12227.151700000832,12227.151700000832,4.0,0.00654915718479559,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/orders?user_id=3015,1,0,22651.838099998713,22651.838099998713,22651.838099998713,22651.838099998713,371.0,0.00654915718479559,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
PUT,/orders?user_id=3027&order_date=2022-04-11+19%3A39%3A29,1,0,16396.844099999726,16396.844099999726,16396.844099999726,16396.844099999726,4.0,0.00654915718479559,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
PUT,/orders?user_id=3053&order_date=2022-04-11+19%3A39%3A51,1,0,14281.706400000985,14281.706400000985,14281.706400000985,14281.706400000985,4.0,0.00654915718479559,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
